# /lscratch1/kbferre/app-traces/mutrino/sparc/128/rank-000.txt
 delta	 tstmp
433	 1511284070870645
79	 1511284070870724
114	 1511284070870838
86	 1511284070870924
179	 1511284070871103
36	 1511284070871139
97	 1511284070871236
636918	 1511284071508154
1024505	 1511284072532659
12007	 1511284072544666
5184	 1511284072549850
445	 1511284072550295
108	 1511284072550403
121	 1511284072550524
112	 1511284072550636
112	 1511284072550748
116	 1511284072550864
122	 1511284072550986
3626	 1511284072554612
640652	 1511284073195264
1143085	 1511284074338349
12634	 1511284074350983
4968	 1511284074355951
951	 1511284074356902
102	 1511284074357004
196	 1511284074357200
176	 1511284074357376
96	 1511284074357472
94	 1511284074357566
135	 1511284074357701
637622	 1511284074995323
1144386	 1511284076139709
11212	 1511284076150921
4941	 1511284076155862
1038	 1511284076156900
74	 1511284076156974
107	 1511284076157081
84	 1511284076157165
252	 1511284076157417
75	 1511284076157492
186	 1511284076157678
637971	 1511284076795649
1068590	 1511284077864239
86955	 1511284077951194
5014	 1511284077956208
937	 1511284077957145
77	 1511284077957222
53	 1511284077957275
75	 1511284077957350
51	 1511284077957401
79	 1511284077957480
52	 1511284077957532
637131	 1511284078594663
1027327	 1511284079621990
114440	 1511284079736430
5051	 1511284079741481
473	 1511284079741954
115	 1511284079742069
158	 1511284079742227
142	 1511284079742369
53	 1511284079742422
134	 1511284079742556
99	 1511284079742655
637109	 1511284080379764
1019967	 1511284081399731
29804	 1511284081429535
5075	 1511284081434610
515	 1511284081435125
61	 1511284081435186
73	 1511284081435259
65	 1511284081435324
31	 1511284081435355
55	 1511284081435410
53	 1511284081435463
637362	 1511284082072825
1028759	 1511284083101584
18918	 1511284083120502
5018	 1511284083125520
439	 1511284083125959
52	 1511284083126011
40	 1511284083126051
46	 1511284083126097
42	 1511284083126139
100	 1511284083126239
38	 1511284083126277
638234	 1511284083764511
1032788	 1511284084797299
12191	 1511284084809490
5034	 1511284084814524
347	 1511284084814871
74	 1511284084814945
49	 1511284084814994
67	 1511284084815061
72	 1511284084815133
35	 1511284084815168
76	 1511284084815244
637215	 1511284085452459
1033014	 1511284086485473
8808	 1511284086494281
5025	 1511284086499306
431	 1511284086499737
51	 1511284086499788
65	 1511284086499853
41	 1511284086499894
49	 1511284086499943
86	 1511284086500029
62	 1511284086500091
638108	 1511284087138199
1044373	 1511284088182572
18989	 1511284088201561
4977	 1511284088206538
448	 1511284088206986
69	 1511284088207055
59	 1511284088207114
41	 1511284088207155
95	 1511284088207250
53	 1511284088207303
72	 1511284088207375
638105	 1511284088845480
1036491	 1511284089881971
4196	 1511284089886167
5014	 1511284089891181
414	 1511284089891595
32	 1511284089891627
82	 1511284089891709
43	 1511284089891752
98	 1511284089891850
65	 1511284089891915
40	 1511284089891955
637379	 1511284090529334
1033591	 1511284091562925
11424	 1511284091574349
4987	 1511284091579336
378	 1511284091579714
