# /lscratch1/kbferre/app-traces/mutrino/cth-st/128/rank-000.txt
 delta	 tstmp
8	 1519431114390946
8	 1519431114390954
8	 1519431114390962
8	 1519431114390970
8	 1519431114390978
8	 1519431114390986
9	 1519431114390995
9	 1519431114391004
9	 1519431114391013
9	 1519431114391022
541	 1519431114391563
19	 1519431114391582
13	 1519431114391595
88	 1519431114391683
9	 1519431114391692
8	 1519431114391700
8	 1519431114391708
15	 1519431114391723
10	 1519431114391733
8	 1519431114391741
38	 1519431114391779
8	 1519431114391787
8	 1519431114391795
8	 1519431114391803
8	 1519431114391811
8	 1519431114391819
8	 1519431114391827
31	 1519431114391858
16	 1519431114391874
355	 1519431114392229
123	 1519431114392352
117	 1519431114392469
113	 1519431114392582
114	 1519431114392696
79	 1519431114392775
47	 1519431114392822
10	 1519431114392832
7	 1519431114392839
7	 1519431114392846
10	 1519431114392856
7	 1519431114392863
186	 1519431114393049
37	 1519431114393086
24	 1519431114393110
164	 1519431114393274
45	 1519431114393319
124	 1519431114393443
1009	 1519431114394452
353	 1519431114394805
713	 1519431114395518
11	 1519431114395529
15	 1519431114395544
151	 1519431114395695
648	 1519431114396343
15	 1519431114396358
10	 1519431114396368
7	 1519431114396375
7	 1519431114396382
43	 1519431114396425
10	 1519431114396435
8	 1519431114396443
8	 1519431114396451
326	 1519431114396777
14	 1519431114396791
13	 1519431114396804
7	 1519431114396811
12	 1519431114396823
7	 1519431114396830
9	 1519431114396839
9	 1519431114396848
136	 1519431114396984
10	 1519431114396994
8	 1519431114397002
238	 1519431114397240
3903165	 1519431118300405
1523233	 1519431119823638
74	 1519431119823712
33	 1519431119823745
17	 1519431119823762
15	 1519431119823777
16	 1519431119823793
16	 1519431119823809
14	 1519431119823823
17	 1519431119823840
14	 1519431119823854
15	 1519431119823869
14	 1519431119823883
15	 1519431119823898
15	 1519431119823913
14	 1519431119823927
17	 1519431119823944
14	 1519431119823958
21	 1519431119823979
10	 1519431119823989
10	 1519431119823999
10	 1519431119824009
10	 1519431119824019
11	 1519431119824030
9	 1519431119824039
9	 1519431119824048
10	 1519431119824058
9	 1519431119824067
10	 1519431119824077
9	 1519431119824086
11	 1519431119824097
9	 1519431119824106
9	 1519431119824115
10	 1519431119824125
9	 1519431119824134
9	 1519431119824143
9	 1519431119824152
11	 1519431119824163
9	 1519431119824172
10	 1519431119824182
10	 1519431119824192
9	 1519431119824201
10	 1519431119824211
10	 1519431119824221
11	 1519431119824232
9	 1519431119824241
10	 1519431119824251
10	 1519431119824261
9	 1519431119824270
3140	 1519431119827410
496	 1519431119827906
12	 1519431119827918
9	 1519431119827927
10	 1519431119827937
193	 1519431119828130
14	 1519431119828144
8	 1519431119828152
10	 1519431119828162
11	 1519431119828173
187	 1519431119828360
12	 1519431119828372
9	 1519431119828381
9	 1519431119828390
9	 1519431119828399
202	 1519431119828601
16	 1519431119828617
8	 1519431119828625
10	 1519431119828635
10	 1519431119828645
186	 1519431119828831
12	 1519431119828843
8	 1519431119828851
11	 1519431119828862
9	 1519431119828871
53	 1519431119828924
12	 1519431119828936
9	 1519431119828945
55814	 1519431119884759
30878	 1519431119915637
62	 1519431119915699
10	 1519431119915709
