# /lscratch1/kbferre/app-traces/mutrino/milc/128/rank-000.txt
 delta	 tstmp
329	 1504215489622237
321	 1504215489622558
313	 1504215489622871
323	 1504215489623194
320	 1504215489623514
317	 1504215489623831
320	 1504215489624151
328	 1504215489624479
329	 1504215489624808
315	 1504215489625123
314	 1504215489625437
319	 1504215489625756
3021	 1504215489628777
323	 1504215489629100
101	 1504215489629201
338	 1504215489629539
329	 1504215489629868
333	 1504215489630201
319	 1504215489630520
351	 1504215489630871
592	 1504215489631463
320	 1504215489631783
56	 1504215489631839
335	 1504215489632174
331	 1504215489632505
318	 1504215489632823
314	 1504215489633137
328	 1504215489633465
599	 1504215489634064
337	 1504215489634401
59	 1504215489634460
319	 1504215489634779
330	 1504215489635109
322	 1504215489635431
314	 1504215489635745
327	 1504215489636072
586	 1504215489636658
312	 1504215489636970
56	 1504215489637026
331	 1504215489637357
326	 1504215489637683
313	 1504215489637996
310	 1504215489638306
349	 1504215489638655
636	 1504215489639291
307	 1504215489639598
54	 1504215489639652
327	 1504215489639979
326	 1504215489640305
310	 1504215489640615
307	 1504215489640922
327	 1504215489641249
581	 1504215489641830
311	 1504215489642141
56	 1504215489642197
344	 1504215489642541
321	 1504215489642862
326	 1504215489643188
382	 1504215489643570
388	 1504215489643958
695	 1504215489644653
362	 1504215489645015
58	 1504215489645073
380	 1504215489645453
566	 1504215489646019
403	 1504215489646422
304	 1504215489646726
333	 1504215489647059
585	 1504215489647644
317	 1504215489647961
56	 1504215489648017
326	 1504215489648343
318	 1504215489648661
312	 1504215489648973
309	 1504215489649282
319	 1504215489649601
323	 1504215489649924
330	 1504215489650254
327	 1504215489650581
346	 1504215489650927
438	 1504215489651365
340	 1504215489651705
317	 1504215489652022
353	 1504215489652375
360	 1504215489652735
353	 1504215489653088
488	 1504215489653576
452	 1504215489654028
351	 1504215489654379
305	 1504215489654684
313	 1504215489654997
339	 1504215489655336
323	 1504215489655659
319	 1504215489655978
316	 1504215489656294
325	 1504215489656619
322	 1504215489656941
312	 1504215489657253
311	 1504215489657564
321	 1504215489657885
320	 1504215489658205
322	 1504215489658527
312	 1504215489658839
327	 1504215489659166
314	 1504215489659480
310	 1504215489659790
307	 1504215489660097
317	 1504215489660414
315	 1504215489660729
317	 1504215489661046
318	 1504215489661364
328	 1504215489661692
323	 1504215489662015
356	 1504215489662371
373	 1504215489662744
472	 1504215489663216
345	 1504215489663561
322	 1504215489663883
313	 1504215489664196
325	 1504215489664521
318	 1504215489664839
309	 1504215489665148
308	 1504215489665456
322	 1504215489665778
315	 1504215489666093
340	 1504215489666433
304	 1504215489666737
331	 1504215489667068
323	 1504215489667391
314	 1504215489667705
308	 1504215489668013
325	 1504215489668338
321	 1504215489668659
311	 1504215489668970
310	 1504215489669280
317	 1504215489669597
321	 1504215489669918
306	 1504215489670224
310	 1504215489670534
320	 1504215489670854
313	 1504215489671167
334	 1504215489671501
323	 1504215489671824
351	 1504215489672175
330	 1504215489672505
390	 1504215489672895
317	 1504215489673212
378	 1504215489673590
337	 1504215489673927
318	 1504215489674245
326	 1504215489674571
326	 1504215489674897
332	 1504215489675229
314	 1504215489675543
314	 1504215489675857
322	 1504215489676179
321	 1504215489676500
322	 1504215489676822
319	 1504215489677141
327	 1504215489677468
326	 1504215489677794
322	 1504215489678116
331	 1504215489678447
347	 1504215489678794
317	 1504215489679111
311	 1504215489679422
325	 1504215489679747
350	 1504215489680097
497	 1504215489680594
432	 1504215489681026
428	 1504215489681454
325	 1504215489681779
318	 1504215489682097
336	 1504215489682433
306	 1504215489682739
326	 1504215489683065
366	 1504215489683431
319	 1504215489683750
315	 1504215489684065
327	 1504215489684392
339	 1504215489684731
320	 1504215489685051
320	 1504215489685371
329	 1504215489685700
